time,open,high,low,close,Smoothed HA (Open),Smoothed HA (High),Smoothed HA (Low),Smoothed HA (Close),TDFI,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1170340200,2.948747,2.948747,2.948747,2.948747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1170426600,3.001663,3.001663,3.001663,3.001663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1170685800,3.062497,3.062497,3.02458,3.042914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1170772200,2.99583,3.014581,2.95833,3.013747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1170858600,3.058747,3.110413,3.03333,3.110413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1170945000,3.028747,3.028747,3.028747,3.028747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1171031400,3.132496,3.132496,2.976247,2.976664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1171290600,2.94583,2.94583,2.94583,2.94583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1171377000,2.936664,2.936664,2.920831,2.934164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1171463400,2.987497,3.066247,2.981247,3.05083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1171549800,3.075831,3.08583,3.075831,3.08583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1171636200,3.072497,3.075831,3.067414,3.067414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1171981800,2.99208,3.081664,2.99208,3.067997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1172068200,3.014997,3.026664,3.014997,3.026664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1172154600,3.15333,3.180413,3.127914,3.166247,NaN,NaN,NaN,NaN,NaN,64.54207507053738,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1172241000,3.191664,3.209163,3.18333,3.192497,NaN,NaN,NaN,NaN,NaN,65.83362159279787,NaN,NaN,NaN,NaN,NaN,65.83362159279787,NaN
1172500200,3.184163,3.184163,3.152914,3.176247,NaN,NaN,NaN,NaN,NaN,64.27287215667451,NaN,NaN,NaN,NaN,NaN,NaN,NaN
